67,1.84E-01,3.42E-01,-0.00134204,193294176.00,179870976.00,-53657496.00
68,1.32E-01,3.42E-01,-0.00142233,202381184.00,189782720.00,-41615676.00
69,7.89E-02,3.42E-01,-0.00147312,206138128.00,196178528.00,-27923022.00
70,2.63E-02,3.42E-01,-0.00149593,204547456.00,198891872.00,-13218897.00
71,-2.63E-02,3.42E-01,-0.00149160,197513760.00,197751472.00,2124098.00
72,-7.89E-02,3.42E-01,-0.00146032,184877120.00,192545952.00,17945874.00
73,-1.32E-01,3.42E-01,-0.00140166,166454432.00,182944016.00,34202584.00
74,-1.84E-01,3.42E-01,-0.00131454,142030272.00,168512832.00,50979268.00
75,-2.37E-01,3.42E-01,-0.00119714,111582128.00,148452960.00,68315328.00
76,-2.89E-01,3.42E-01,-0.00104667,75198784.00,122037200.00,86138752.00
77,-3.42E-01,3.42E-01,-0.00085911,34180252.00,87288160.00,103900128.00
78,-3.95E-01,3.42E-01,-0.00062834,-9460060.00,45675696.00,116972064.00
79,-4.47E-01,3.42E-01,-0.00034585,-60985608.00,5191134.00,122647760.00
80,-5.00E-01,3.42E-01,0.00000000,-90208512.00,-13597310.00,123980432.00
81,5.00E-01,2.89E-01,0.00000000,32885134.00,101013640.00,-20419260.00
82,4.47E-01,2.89E-01,-0.00043307,61723588.00,112851496.00,-35626524.00
83,3.95E-01,2.89E-01,-0.00079039,112337688.00,136251280.00,-58384380.00
84,3.42E-01,2.89E-01,-0.00108227,150443936.00,158460864.00,-68295424.00
85,2.89E-01,2.89E-01,-0.00131762,178657488.00,178657488.00,-69408984.00
86,2.37E-01,2.89E-01,-0.00150353,198748096.00,196412720.00,-64338264.00
87,1.84E-01,2.89E-01,-0.00164538,212022432.00,211172560.00,-54907888.00
88,1.32E-01,2.89E-01,-0.00174713,219331296.00,222379776.00,-42520056.00
89,7.89E-02,2.89E-01,-0.00181155,221149616.00,229602960.00,-28201722.00
90,2.63E-02,2.89E-01,-0.00184048,217705360.00,232494288.00,-12661214.00
91,-2.63E-02,2.89E-01,-0.00183495,209057504.00,230753344.00,3644695.75
92,-7.89E-02,2.89E-01,-0.00179520,195166096.00,224041616.00,20427094.00
93,-1.32E-01,2.89E-01,-0.00172077,175916992.00,211995392.00,37506212.00
94,-1.84E-01,2.89E-01,-0.00161044,151235520.00,194054768.00,54712444.00
95,-2.37E-01,2.89E-01,-0.00146216,121054872.00,169724704.00,71721280.00
96,-2.89E-01,2.89E-01,-0.00127295,85562696.00,138115152.00,88001040.00
97,-3.42E-01,2.89E-01,-0.00103855,44990004.00,99461128.00,101506608.00
98,-3.95E-01,2.89E-01,-0.00075338,-3056728.50,56250268.00,110660216.00
99,-4.47E-01,2.89E-01,-0.00041010,-61372184.00,11594560.00,116001496.00
100,-5.00E-01,2.89E-01,0.00000000,-93205720.00,-10681358.00,117816736.00
101,5.00E-01,2.37E-01,0.00000000,37004040.00,130539728.00,-18331488.00
102,4.47E-01,2.37E-01,-0.00048628,69237488.00,139278048.00,-32272026.00
103,3.95E-01,2.37E-01,-0.00089335,125347888.00,158230656.00,-53439568.00
104,3.42E-01,2.37E-01,-0.00122985,166657728.00,178768256.00,-63042188.00
105,2.89E-01,2.37E-01,-0.00150353,196412720.00,198748096.00,-64338264.00
106,2.37E-01,2.37E-01,-0.00172098,216874624.00,216874624.00,-59719392.00
107,1.84E-01,2.37E-01,-0.00188752,229665728.00,232201760.00,-50903192.00
108,1.32E-01,2.37E-01,-0.00200724,235943568.00,243949488.00,-39156944.00
109,7.89E-02,2.37E-01,-0.00208314,236465152.00,251480752.00,-25437406.00
110,2.63E-02,2.37E-01,-0.00211723,231668928.00,254295936.00,-10443508.00
111,-2.63E-02,2.37E-01,-0.00211066,221762640.00,251958768.00,5322658.50
112,-7.89E-02,2.37E-01,-0.00206375,206781952.00,244085488.00,21487258.00
113,-1.32E-01,2.37E-01,-0.00197603,186662480.00,230233392.00,37738088.00
114,-1.84E-01,2.37E-01,-0.00184624,161248032.00,210019376.00,53690376.00
115,-2.37E-01,2.37E-01,-0.00167227,130328936.00,182947520.00,68878568.00
116,-2.89E-01,2.37E-01,-0.00145109,93578416.00,148944320.00,82267416.00
117,-3.42E-01,2.37E-01,-0.00117877,49640716.00,108703248.00,92923792.00
118,-3.95E-01,2.37E-01,-0.00085023,-3178220.50,63469016.00,100327912.00
119,-4.47E-01,2.37E-01,-0.00045953,-67649856.00,14882997.00,104869360.00
120,-5.00E-01,2.37E-01,0.00000000,-103348160.00,-10054986.00,106618768.00
121,5.00E-01,1.84E-01,0.00000000,40151608.00,155189952.00,-15280320.00
122,4.47E-01,1.84E-01,-0.00052654,75080792.00,161035376.00,-27084484.00
123,3.95E-01,1.84E-01,-0.00097140,135691056.00,175366784.00,-45197148.00
124,3.42E-01,1.84E-01,-0.00134204,179870976.00,193294176.00,-53657496.00
125,2.89E-01,1.84E-01,-0.00164538,211172560.00,212022432.00,-54907888.00
126,2.37E-01,1.84E-01,-0.00188752,232201760.00,229665728.00,-50903192.00
127,1.84E-01,1.84E-01,-0.00207356,244873216.00,244873216.00,-43127668.00
128,1.32E-01,1.84E-01,-0.00220757,250564448.00,256618752.00,-32693424.00
129,7.89E-02,1.84E-01,-0.00229261,250227424.00,264102608.00,-20437108.00
130,2.63E-02,1.84E-01,-0.00233081,244455600.00,266685184.00,-6994836.50
131,-2.63E-02,1.84E-01,-0.00232340,233556048.00,263861344.00,7137939.00
132,-7.89E-02,1.84E-01,-0.00227075,217611104.00,255176864.00,21558034.00
133,-1.32E-01,1.84E-01,-0.00217240,196517552.00,240263104.00,35860680.00
